ID_ARTICOL,ARTICOL,DATA,CANTITATE,VAL_IESIRE_CU_TVA,VAL_IESIRE_FARA_TVA,VAL_INTRARE_FARA_TVA_STOC,TOTAL_DISCOUNT,FLAG_PROMOTIE,ADAOS,STOC,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
8259,CARNE PORC LUCRU,14-Feb-23,99.422,1490.34,1367.24,1342.196999,149.133,1,25.043001,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,14-Feb-23,94,459.66,422.06,321.48,0,0,100.58,531,,,0
7784,CLEMENTINE CALITATEA I,14-Feb-23,0,0,0,0,0,0,0,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,15-Feb-23,89,435.21,399.61,304.38,0,0,95.23,531,,,0
8259,CARNE PORC LUCRU,15-Feb-23,398.084,5967.27,5474.6,5374.134006,597.126,1,100.465994,9.954,,,0
6937,BANANE CALITATEA I.,15-Feb-23,114.864,975.22,894.68,816.966703,0,0,77.713297,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,15-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,16-Feb-23,156.22,1326.36,1216.88,1137.394691,0,0,79.485309,202.512,,,0
8259,CARNE PORC LUCRU,16-Feb-23,82.138,1231.25,1129.59,1108.862999,123.207,1,20.727001,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,16-Feb-23,3,91.77,84.18,55.8,0,0,28.38,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,16-Feb-23,105,513.45,471.42,359.100005,0,0,112.319995,531,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,17-Feb-23,114,557.46,511.82,389.880011,0,0,121.939989,531,,,0
8259,CARNE PORC LUCRU,17-Feb-23,117.038,1754.43,1609.55,1580.012997,175.557,1,29.537003,9.954,,,0
6937,BANANE CALITATEA I.,17-Feb-23,150.172,1275,1169.72,1093.302909,0,0,76.417091,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,17-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
8259,CARNE PORC LUCRU,18-Feb-23,34.94,523.78,480.53,471.689999,52.41,1,8.840001,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,18-Feb-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,18-Feb-23,66,322.74,296.32,225.72,0,0,70.6,531,,,0
6937,BANANE CALITATEA I.,18-Feb-23,66.996,568.82,521.92,489.070801,0,0,32.849199,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,19-Feb-23,78,381.42,350.21,266.76,0,0,83.45,531,,,0
8259,CARNE PORC LUCRU,19-Feb-23,51.138,766.56,703.25,690.363001,76.707,1,12.886999,9.954,,,0
6937,BANANE CALITATEA I.,19-Feb-23,53.81,456.83,419.12,392.813,0,0,26.307,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,19-Feb-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
6937,BANANE CALITATEA I.,20-Feb-23,51.974,441.27,404.83,376.458075,0,0,28.371925,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,20-Feb-23,67,327.63,300.79,229.14,0,0,71.65,531,,,0
8259,CARNE PORC LUCRU,20-Feb-23,20.22,363.75,333.71,272.97,0,0,60.74,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,21-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,21-Feb-23,78.338,665.06,610.11,567.417804,0,0,42.692196,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,21-Feb-23,64,312.96,287.36,218.88,0,0,68.48,531,,,0
8259,CARNE PORC LUCRU,21-Feb-23,20.284,364.9,334.79,273.834,0,0,60.956,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,22-Feb-23,4,122.36,112.24,77.6,0,0,34.64,198,,,0
6937,BANANE CALITATEA I.,22-Feb-23,98.374,835.17,766.21,680.829566,0,0,85.380434,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,22-Feb-23,81,396.09,363.69,277.02,0,0,86.67,531,,,0
8259,CARNE PORC LUCRU,22-Feb-23,0.654,11.77,10.8,8.829,0,0,1.971,9.954,,,0
8259,CARNE PORC LUCRU,23-Feb-23,26.766,431.77,396.14,361.341,49.76,1,34.799,9.954,,,0
6937,BANANE CALITATEA I.,23-Feb-23,98.63,837.4,768.24,698.769076,0,0,69.470924,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,23-Feb-23,1,30.59,28.06,19.4,0,0,8.66,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,23-Feb-23,85,415.65,381.64,290.699998,0,0,90.940002,531,,,0
8259,CARNE PORC LUCRU,24-Feb-23,63.246,1011.3,927.8,853.821,126.492,1,73.979,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,24-Feb-23,2,61.18,56.12,38.8,0,0,17.32,198,,,0
